OID,FID_1,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
-1,1,0005793230,CENTRAL VALLEY GENERAL HOSPITAL,1025 NORTH DOUTY STREET,HANFORD,CA,93230,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,CLOSED,49,KINGS,06031,USA,36.336158850000061,-119.645667297999978,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2016/2/4 0:00:00,IMAGERY/OTHER,2014/2/10 0:00:00,http://www.hanfordhealth.com,NOT AVAILABLE,NOT AVAILABLE,06,PROPRIETARY,-999,49.000000000000000,NOT AVAILABLE,N
-1,2,0053391362,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILAGE,CA,91362,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,62,VENTURA,06111,USA,34.154938872000059,-118.815736390999973,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2019/8/2 0:00:00,IMAGERY/OTHER,2014/2/10 0:00:00,http://www.losrobleshospital.com,NOT AVAILABLE,NOT AVAILABLE,06,PROPRIETARY,-999,62.000000000000000,NOT AVAILABLE,N
-1,3,0011190023,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,90023,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,127,LOS ANGELES,06037,USA,34.023647302000029,-118.184164804999966,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2019/8/2 0:00:00,IMAGERY/OTHER,2014/2/10 0:00:00,http://www.elalax.com,NOT AVAILABLE,NOT AVAILABLE,06,PROPRIETARY,-999,127.000000000000000,NOT AVAILABLE,N
-1,4,0017090028,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,90028,NOT AVAILABLE,(323) 462-2271,GENERAL ACUTE CARE,OPEN,100,LOS ANGELES,06037,USA,34.096391357000073,-118.325234870999964,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2019/8/2 0:00:00,IMAGERY/OTHER,2014/2/10 0:00:00,http://sch-hollywood.com/,NOT AVAILABLE,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,06,PROPRIETARY,-999,100.000000000000000,NOT AVAILABLE,N
-1,5,0023691706,KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,91706,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,95,LOS ANGELES,06037,USA,34.063038932000040,-117.967437787999984,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2019/8/2 0:00:00,IMAGERY/OTHER,2014/2/10 0:00:00,http://www.khbaldwinpark.com,NOT AVAILABLE,NOT AVAILABLE,06,PROPRIETARY,-999,95.000000000000000,NOT AVAILABLE,N
-1,6,0025190712,LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,CA,90712,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,172,LOS ANGELES,06037,USA,33.859706620000054,-118.148402964999946,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2019/8/2 0:00:00,IMAGERY/OTHER,2014/2/10 0:00:00,http://www.lakewoodregional.com,NOT AVAILABLE,NOT AVAILABLE,06,PROPRIETARY,-999,172.000000000000000,NOT AVAILABLE,N
-1,7,0030791016,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,91016,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,49,LOS ANGELES,06037,USA,34.148758659000066,-117.992667656999970,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2019/8/2 0:00:00,IMAGERY/OTHER,2014/2/10 0:00:00,http://www.monroviamemorial.com,NOT AVAILABLE,NOT AVAILABLE,06,PROPRIETARY,-999,49.000000000000000,NOT AVAILABLE,N
-1,8,0030891754,MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,91754,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,101,LOS ANGELES,06037,USA,34.049466059000054,-118.138262230999942,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2019/8/2 0:00:00,IMAGERY/OTHER,2014/2/10 0:00:00,http://www.montereyparkhosp.com,NOT AVAILABLE,NOT AVAILABLE,06,PROPRIETARY,-999,101.000000000000000,NOT AVAILABLE,N
-1,9,0047090505,STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,TORRANCE,CA,90505,NOT AVAILABLE,NOT AVAILABLE,PSYCHIATRIC,OPEN,16,LOS ANGELES,06037,USA,33.823914464000040,-118.356096946999969,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2019/8/2 0:00:00,IMAGERY/OTHER,2014/2/10 0:00:00,http://www.starsinc.com/,NOT AVAILABLE,NOT AVAILABLE,06,PROPRIETARY,-999,16.000000000000000,NOT AVAILABLE,N
-1,10,0009092879,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CORONA,CA,92879,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,78,RIVERSIDE,06065,USA,33.858083307000072,-117.553858034999962,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2019/8/2 0:00:00,IMAGERY/OTHER,2014/2/10 0:00:00,http://www.coronaregional.com,NOT AVAILABLE,NOT AVAILABLE,06,PROPRIETARY,-999,78.000000000000000,NOT AVAILABLE,N
